idx,teacher,raw_line
230,moonshotai/kimi-k3-free,220
231,moonshotai/kimi-k3-free,221
232,moonshotai/kimi-k3-free,222
233,moonshotai/kimi-k3-free,223
234,moonshotai/kimi-k3-free,224
235,moonshotai/kimi-k3-free,1590
236,moonshotai/kimi-k3-free,1588
237,moonshotai/kimi-k3-free,275
238,moonshotai/kimi-k3-free,272
239,moonshotai/kimi-k3-free,230
240,moonshotai/kimi-k3-free,231
241,moonshotai/kimi-k3-free,234
242,moonshotai/kimi-k3-free,232
243,moonshotai/kimi-k3-free,235
244,moonshotai/kimi-k3-free,237
245,moonshotai/kimi-k3-free,236
246,moonshotai/kimi-k3-free,321
247,moonshotai/kimi-k3-free,1592
248,moonshotai/kimi-k3-free,1591
249,moonshotai/kimi-k3-free,1598
250,moonshotai/kimi-k3-free,245
251,moonshotai/kimi-k3-free,244
252,moonshotai/kimi-k3-free,248
253,moonshotai/kimi-k3-free,243
254,moonshotai/kimi-k3-free,247
255,moonshotai/kimi-k3-free,246
256,moonshotai/kimi-k3-free,258
257,moonshotai/kimi-k3-free,249
258,moonshotai/kimi-k3-free,301
259,moonshotai/kimi-k3-free,250
260,moonshotai/kimi-k3-free,1594
261,moonshotai/kimi-k3-free,1596
262,moonshotai/kimi-k3-free,1595
263,moonshotai/kimi-k3-free,259
264,moonshotai/kimi-k3-free,257
265,moonshotai/kimi-k3-free,255
266,moonshotai/kimi-k3-free,256
267,moonshotai/kimi-k3-free,260
268,moonshotai/kimi-k3-free,311
269,moonshotai/kimi-k3-free,262
270,moonshotai/kimi-k3-free,261
271,moonshotai/kimi-k3-free,263
272,moonshotai/kimi-k3-free,264
273,moonshotai/kimi-k3-free,1613
274,moonshotai/kimi-k3-free,1597
275,moonshotai/kimi-k3-free,1605
276,moonshotai/kimi-k3-free,1625
277,moonshotai/kimi-k3-free,274
278,moonshotai/kimi-k3-free,312
279,moonshotai/kimi-k3-free,270
280,moonshotai/kimi-k3-free,273
282,moonshotai/kimi-k3-free,276
283,moonshotai/kimi-k3-free,314
284,moonshotai/kimi-k3-free,278
285,moonshotai/kimi-k3-free,279
286,moonshotai/kimi-k3-free,277
287,moonshotai/kimi-k3-free,1607
288,moonshotai/kimi-k3-free,1599
289,moonshotai/kimi-k3-free,1610
290,moonshotai/kimi-k3-free,1601
291,moonshotai/kimi-k3-free,1602
292,moonshotai/kimi-k3-free,1603
293,moonshotai/kimi-k3-free,286
294,moonshotai/kimi-k3-free,289
295,moonshotai/kimi-k3-free,290
296,moonshotai/kimi-k3-free,288
297,moonshotai/kimi-k3-free,320
298,moonshotai/kimi-k3-free,291
299,moonshotai/kimi-k3-free,1604
300,moonshotai/kimi-k3-free,1606
301,moonshotai/kimi-k3-free,1632
302,moonshotai/kimi-k3-free,292
303,moonshotai/kimi-k3-free,1608
304,moonshotai/kimi-k3-free,293
305,moonshotai/kimi-k3-free,294
306,moonshotai/kimi-k3-free,1609
307,moonshotai/kimi-k3-free,298
308,moonshotai/kimi-k3-free,299
309,moonshotai/kimi-k3-free,335
310,moonshotai/kimi-k3-free,302
311,moonshotai/kimi-k3-free,303
312,moonshotai/kimi-k3-free,1611
313,moonshotai/kimi-k3-free,1612
314,moonshotai/kimi-k3-free,1614
315,moonshotai/kimi-k3-free,1616
316,moonshotai/kimi-k3-free,1617
317,moonshotai/kimi-k3-free,1615
318,moonshotai/kimi-k3-free,1620
319,moonshotai/kimi-k3-free,1619
320,moonshotai/kimi-k3-free,1618
321,moonshotai/kimi-k3-free,1626
322,moonshotai/kimi-k3-free,1623
323,moonshotai/kimi-k3-free,1622
324,moonshotai/kimi-k3-free,313
325,moonshotai/kimi-k3-free,317
326,moonshotai/kimi-k3-free,315
327,moonshotai/kimi-k3-free,316
328,moonshotai/kimi-k3-free,319
329,moonshotai/kimi-k3-free,318
330,moonshotai/kimi-k3-free,1621
331,moonshotai/kimi-k3-free,1624
332,moonshotai/kimi-k3-free,1633
333,moonshotai/kimi-k3-free,1627
334,moonshotai/kimi-k3-free,332
335,moonshotai/kimi-k3-free,329
336,moonshotai/kimi-k3-free,331
337,moonshotai/kimi-k3-free,330
338,moonshotai/kimi-k3-free,328
339,moonshotai/kimi-k3-free,389
340,moonshotai/kimi-k3-free,388
341,moonshotai/kimi-k3-free,387
342,moonshotai/kimi-k3-free,333
343,moonshotai/kimi-k3-free,334
344,moonshotai/kimi-k3-free,336
345,moonshotai/kimi-k3-free,1636
346,moonshotai/kimi-k3-free,1628
347,moonshotai/kimi-k3-free,1631
348,moonshotai/kimi-k3-free,1644
349,moonshotai/kimi-k3-free,343
350,moonshotai/kimi-k3-free,344
351,moonshotai/kimi-k3-free,342
352,moonshotai/kimi-k3-free,341
353,moonshotai/kimi-k3-free,345
354,moonshotai/kimi-k3-free,346
355,moonshotai/kimi-k3-free,397
356,moonshotai/kimi-k3-free,400
357,moonshotai/kimi-k3-free,347
358,moonshotai/kimi-k3-free,349
359,moonshotai/kimi-k3-free,1997
360,moonshotai/kimi-k3-free,1630
361,moonshotai/kimi-k3-free,1638
362,moonshotai/kimi-k3-free,1652
363,moonshotai/kimi-k3-free,361
364,moonshotai/kimi-k3-free,357
365,moonshotai/kimi-k3-free,358
366,moonshotai/kimi-k3-free,359
367,moonshotai/kimi-k3-free,405
368,moonshotai/kimi-k3-free,360
369,moonshotai/kimi-k3-free,1634
370,moonshotai/kimi-k3-free,1635
371,moonshotai/kimi-k3-free,1647
372,moonshotai/kimi-k3-free,1637
373,moonshotai/kimi-k3-free,1640
374,moonshotai/kimi-k3-free,1639
375,moonshotai/kimi-k3-free,372
376,moonshotai/kimi-k3-free,369
377,moonshotai/kimi-k3-free,368
378,moonshotai/kimi-k3-free,371
379,moonshotai/kimi-k3-free,1641
380,moonshotai/kimi-k3-free,1642
381,moonshotai/kimi-k3-free,1643
382,moonshotai/kimi-k3-free,1651
383,moonshotai/kimi-k3-free,1660
384,moonshotai/kimi-k3-free,1645
385,moonshotai/kimi-k3-free,378
386,moonshotai/kimi-k3-free,423
387,moonshotai/kimi-k3-free,379
388,moonshotai/kimi-k3-free,381
389,moonshotai/kimi-k3-free,380
390,moonshotai/kimi-k3-free,1646
391,moonshotai/kimi-k3-free,1671
392,moonshotai/kimi-k3-free,382
393,moonshotai/kimi-k3-free,384
394,moonshotai/kimi-k3-free,1648
395,moonshotai/kimi-k3-free,1649
396,moonshotai/kimi-k3-free,385
397,moonshotai/kimi-k3-free,386
398,moonshotai/kimi-k3-free,1650
399,moonshotai/kimi-k3-free,391
400,moonshotai/kimi-k3-free,390
401,moonshotai/kimi-k3-free,1653
402,moonshotai/kimi-k3-free,1657
403,moonshotai/kimi-k3-free,393
404,moonshotai/kimi-k3-free,1665
405,moonshotai/kimi-k3-free,395
406,moonshotai/kimi-k3-free,396
407,moonshotai/kimi-k3-free,398
408,moonshotai/kimi-k3-free,399
409,moonshotai/kimi-k3-free,470
410,moonshotai/kimi-k3-free,401
411,moonshotai/kimi-k3-free,1654
412,moonshotai/kimi-k3-free,1655
413,moonshotai/kimi-k3-free,1658
414,moonshotai/kimi-k3-free,448
415,moonshotai/kimi-k3-free,407
416,moonshotai/kimi-k3-free,406
417,moonshotai/kimi-k3-free,408
418,moonshotai/kimi-k3-free,409
419,moonshotai/kimi-k3-free,1656
420,moonshotai/kimi-k3-free,410
421,moonshotai/kimi-k3-free,411
422,moonshotai/kimi-k3-free,412
423,moonshotai/kimi-k3-free,1659
424,moonshotai/kimi-k3-free,1664
425,moonshotai/kimi-k3-free,415
426,moonshotai/kimi-k3-free,417
427,moonshotai/kimi-k3-free,418
428,moonshotai/kimi-k3-free,419
429,moonshotai/kimi-k3-free,420
430,moonshotai/kimi-k3-free,421
431,moonshotai/kimi-k3-free,422
433,moonshotai/kimi-k3-free,1666
434,moonshotai/kimi-k3-free,1668
435,moonshotai/kimi-k3-free,1661
436,moonshotai/kimi-k3-free,1662
437,moonshotai/kimi-k3-free,430
438,moonshotai/kimi-k3-free,431
439,moonshotai/kimi-k3-free,1663
440,moonshotai/kimi-k3-free,451
441,moonshotai/kimi-k3-free,449
442,moonshotai/kimi-k3-free,434
443,moonshotai/kimi-k3-free,433
444,moonshotai/kimi-k3-free,454
445,moonshotai/kimi-k3-free,436
446,moonshotai/kimi-k3-free,437
447,moonshotai/kimi-k3-free,438
448,moonshotai/kimi-k3-free,439
449,moonshotai/kimi-k3-free,1667
450,moonshotai/kimi-k3-free,440
451,moonshotai/kimi-k3-free,1673
452,moonshotai/kimi-k3-free,1670
453,moonshotai/kimi-k3-free,442
454,moonshotai/kimi-k3-free,446
455,moonshotai/kimi-k3-free,467
456,moonshotai/kimi-k3-free,445
457,moonshotai/kimi-k3-free,447
458,moonshotai/kimi-k3-free,1674
459,moonshotai/kimi-k3-free,1669
460,moonshotai/kimi-k3-free,489
461,moonshotai/kimi-k3-free,456
462,moonshotai/kimi-k3-free,453
463,moonshotai/kimi-k3-free,455
464,moonshotai/kimi-k3-free,457
465,moonshotai/kimi-k3-free,508
466,moonshotai/kimi-k3-free,459
467,moonshotai/kimi-k3-free,458
468,moonshotai/kimi-k3-free,1681
469,moonshotai/kimi-k3-free,1678
470,moonshotai/kimi-k3-free,1676
471,moonshotai/kimi-k3-free,1672
472,moonshotai/kimi-k3-free,466
473,moonshotai/kimi-k3-free,468
474,moonshotai/kimi-k3-free,1687
475,moonshotai/kimi-k3-free,465
476,moonshotai/kimi-k3-free,511
477,moonshotai/kimi-k3-free,473
478,moonshotai/kimi-k3-free,469
479,moonshotai/kimi-k3-free,471
480,moonshotai/kimi-k3-free,1675
481,moonshotai/kimi-k3-free,472
482,moonshotai/kimi-k3-free,1677
483,moonshotai/kimi-k3-free,1684
484,moonshotai/kimi-k3-free,1679
485,moonshotai/kimi-k3-free,1682
486,moonshotai/kimi-k3-free,1680
487,moonshotai/kimi-k3-free,1688
488,moonshotai/kimi-k3-free,1683
489,moonshotai/kimi-k3-free,1697
490,moonshotai/kimi-k3-free,1685
491,moonshotai/kimi-k3-free,486
492,moonshotai/kimi-k3-free,488
493,moonshotai/kimi-k3-free,515
494,moonshotai/kimi-k3-free,487
495,moonshotai/kimi-k3-free,514
496,moonshotai/kimi-k3-free,492
497,moonshotai/kimi-k3-free,491
498,moonshotai/kimi-k3-free,490
499,moonshotai/kimi-k3-free,494
500,moonshotai/kimi-k3-free,493
501,moonshotai/kimi-k3-free,1686
502,moonshotai/kimi-k3-free,1691
503,moonshotai/kimi-k3-free,495
504,moonshotai/kimi-k3-free,1689
505,moonshotai/kimi-k3-free,1698
506,moonshotai/kimi-k3-free,1690
507,moonshotai/kimi-k3-free,1692
508,moonshotai/kimi-k3-free,1693
509,moonshotai/kimi-k3-free,1694
510,moonshotai/kimi-k3-free,1696
511,moonshotai/kimi-k3-free,523
512,moonshotai/kimi-k3-free,502
513,moonshotai/kimi-k3-free,504
514,moonshotai/kimi-k3-free,505
515,moonshotai/kimi-k3-free,527
517,moonshotai/kimi-k3-free,506
518,moonshotai/kimi-k3-free,507
519,moonshotai/kimi-k3-free,1704
520,moonshotai/kimi-k3-free,509
521,moonshotai/kimi-k3-free,516
522,moonshotai/kimi-k3-free,512
523,moonshotai/kimi-k3-free,513
525,moonshotai/kimi-k3-free,1695
526,moonshotai/kimi-k3-free,551
527,moonshotai/kimi-k3-free,518
528,moonshotai/kimi-k3-free,517
529,moonshotai/kimi-k3-free,519
530,moonshotai/kimi-k3-free,1703
531,moonshotai/kimi-k3-free,521
532,moonshotai/kimi-k3-free,522
533,moonshotai/kimi-k3-free,526
534,moonshotai/kimi-k3-free,528
535,moonshotai/kimi-k3-free,529
537,moonshotai/kimi-k3-free,560
538,moonshotai/kimi-k3-free,530
539,moonshotai/kimi-k3-free,561
540,moonshotai/kimi-k3-free,1702
541,moonshotai/kimi-k3-free,1699
542,moonshotai/kimi-k3-free,1705
543,moonshotai/kimi-k3-free,536
544,moonshotai/kimi-k3-free,535
545,moonshotai/kimi-k3-free,537
546,moonshotai/kimi-k3-free,1701
547,moonshotai/kimi-k3-free,538
548,moonshotai/kimi-k3-free,539
549,moonshotai/kimi-k3-free,570
550,moonshotai/kimi-k3-free,540
551,moonshotai/kimi-k3-free,541
552,moonshotai/kimi-k3-free,1706
553,moonshotai/kimi-k3-free,1712
554,moonshotai/kimi-k3-free,544
555,moonshotai/kimi-k3-free,545
556,moonshotai/kimi-k3-free,1707
557,moonshotai/kimi-k3-free,547
558,moonshotai/kimi-k3-free,548
559,moonshotai/kimi-k3-free,584
560,moonshotai/kimi-k3-free,549
561,moonshotai/kimi-k3-free,650
562,moonshotai/kimi-k3-free,554
563,moonshotai/kimi-k3-free,552
564,moonshotai/kimi-k3-free,553
565,moonshotai/kimi-k3-free,555
566,moonshotai/kimi-k3-free,556
567,moonshotai/kimi-k3-free,1738
568,moonshotai/kimi-k3-free,1733
569,moonshotai/kimi-k3-free,559
570,moonshotai/kimi-k3-free,1709
571,moonshotai/kimi-k3-free,562
572,moonshotai/kimi-k3-free,564
573,moonshotai/kimi-k3-free,662
574,moonshotai/kimi-k3-free,565
575,moonshotai/kimi-k3-free,566
576,moonshotai/kimi-k3-free,567
577,moonshotai/kimi-k3-free,608
578,moonshotai/kimi-k3-free,1708
579,moonshotai/kimi-k3-free,1713
580,moonshotai/kimi-k3-free,1711
581,moonshotai/kimi-k3-free,572
582,moonshotai/kimi-k3-free,573
583,moonshotai/kimi-k3-free,574
584,moonshotai/kimi-k3-free,575
585,moonshotai/kimi-k3-free,576
586,moonshotai/kimi-k3-free,577
587,moonshotai/kimi-k3-free,578
588,moonshotai/kimi-k3-free,1710
589,moonshotai/kimi-k3-free,1717
590,moonshotai/kimi-k3-free,1716
591,moonshotai/kimi-k3-free,1724
592,moonshotai/kimi-k3-free,1714
593,moonshotai/kimi-k3-free,1715
594,moonshotai/kimi-k3-free,585
595,moonshotai/kimi-k3-free,587
596,moonshotai/kimi-k3-free,586
597,moonshotai/kimi-k3-free,588
598,moonshotai/kimi-k3-free,589
599,moonshotai/kimi-k3-free,590
600,moonshotai/kimi-k3-free,1718
601,moonshotai/kimi-k3-free,1721
602,moonshotai/kimi-k3-free,1719
603,moonshotai/kimi-k3-free,594
604,moonshotai/kimi-k3-free,656
605,moonshotai/kimi-k3-free,595
606,moonshotai/kimi-k3-free,596
607,moonshotai/kimi-k3-free,597
608,moonshotai/kimi-k3-free,598
609,moonshotai/kimi-k3-free,599
610,moonshotai/kimi-k3-free,600
611,moonshotai/kimi-k3-free,601
612,moonshotai/kimi-k3-free,1720
613,moonshotai/kimi-k3-free,1732
614,moonshotai/kimi-k3-free,639
615,moonshotai/kimi-k3-free,607
616,moonshotai/kimi-k3-free,606
617,moonshotai/kimi-k3-free,640
618,moonshotai/kimi-k3-free,641
619,moonshotai/kimi-k3-free,610
620,moonshotai/kimi-k3-free,609
622,moonshotai/kimi-k3-free,1753
623,moonshotai/kimi-k3-free,614
624,moonshotai/kimi-k3-free,616
625,moonshotai/kimi-k3-free,615
626,moonshotai/kimi-k3-free,618
627,moonshotai/kimi-k3-free,617
628,moonshotai/kimi-k3-free,643
629,moonshotai/kimi-k3-free,619
630,moonshotai/kimi-k3-free,1722
631,moonshotai/kimi-k3-free,1723
632,moonshotai/kimi-k3-free,1725
633,moonshotai/kimi-k3-free,626
634,moonshotai/kimi-k3-free,648
635,moonshotai/kimi-k3-free,625
636,moonshotai/kimi-k3-free,627
637,moonshotai/kimi-k3-free,628
638,moonshotai/kimi-k3-free,629
639,moonshotai/kimi-k3-free,654
640,moonshotai/kimi-k3-free,630
641,moonshotai/kimi-k3-free,631
642,moonshotai/kimi-k3-free,1726
643,moonshotai/kimi-k3-free,1727
644,moonshotai/kimi-k3-free,634
645,moonshotai/kimi-k3-free,635
646,moonshotai/kimi-k3-free,636
647,moonshotai/kimi-k3-free,681
648,moonshotai/kimi-k3-free,637
649,moonshotai/kimi-k3-free,638
650,moonshotai/kimi-k3-free,687
651,moonshotai/kimi-k3-free,664
652,moonshotai/kimi-k3-free,666
653,moonshotai/kimi-k3-free,642
654,moonshotai/kimi-k3-free,1728
655,moonshotai/kimi-k3-free,644
656,moonshotai/kimi-k3-free,645
657,moonshotai/kimi-k3-free,646
658,moonshotai/kimi-k3-free,647
659,moonshotai/kimi-k3-free,708
660,moonshotai/kimi-k3-free,653
661,moonshotai/kimi-k3-free,652
662,moonshotai/kimi-k3-free,651
663,moonshotai/kimi-k3-free,655
664,moonshotai/kimi-k3-free,675
665,moonshotai/kimi-k3-free,1730
666,moonshotai/kimi-k3-free,1729
667,moonshotai/kimi-k3-free,1731
668,moonshotai/kimi-k3-free,720
669,moonshotai/kimi-k3-free,659
670,moonshotai/kimi-k3-free,680
671,moonshotai/kimi-k3-free,660
672,moonshotai/kimi-k3-free,661
673,moonshotai/kimi-k3-free,1741
674,moonshotai/kimi-k3-free,663
675,moonshotai/kimi-k3-free,665
676,moonshotai/kimi-k3-free,667
677,moonshotai/kimi-k3-free,1736
678,moonshotai/kimi-k3-free,1734
679,moonshotai/kimi-k3-free,1735
680,moonshotai/kimi-k3-free,697
681,moonshotai/kimi-k3-free,670
682,moonshotai/kimi-k3-free,672
683,moonshotai/kimi-k3-free,699
684,moonshotai/kimi-k3-free,673
685,moonshotai/kimi-k3-free,674
686,moonshotai/kimi-k3-free,703
687,moonshotai/kimi-k3-free,676
688,moonshotai/kimi-k3-free,677
689,moonshotai/kimi-k3-free,679
690,moonshotai/kimi-k3-free,718
691,moonshotai/kimi-k3-free,682
692,moonshotai/kimi-k3-free,1748
693,moonshotai/kimi-k3-free,1744
694,moonshotai/kimi-k3-free,684
695,moonshotai/kimi-k3-free,776
696,moonshotai/kimi-k3-free,689
698,moonshotai/kimi-k3-free,690
699,moonshotai/kimi-k3-free,692
700,moonshotai/kimi-k3-free,691
701,moonshotai/kimi-k3-free,730
702,moonshotai/kimi-k3-free,729
703,moonshotai/kimi-k3-free,1737
704,moonshotai/kimi-k3-free,694
705,moonshotai/kimi-k3-free,733
706,moonshotai/kimi-k3-free,696
707,moonshotai/kimi-k3-free,754
708,moonshotai/kimi-k3-free,756
709,moonshotai/kimi-k3-free,698
710,moonshotai/kimi-k3-free,700
711,moonshotai/kimi-k3-free,702
712,moonshotai/kimi-k3-free,701
713,moonshotai/kimi-k3-free,704
714,moonshotai/kimi-k3-free,705
716,moonshotai/kimi-k3-free,710
717,moonshotai/kimi-k3-free,707
718,moonshotai/kimi-k3-free,709
719,moonshotai/kimi-k3-free,737
720,moonshotai/kimi-k3-free,712
721,moonshotai/kimi-k3-free,711
722,moonshotai/kimi-k3-free,1739
723,moonshotai/kimi-k3-free,714
724,moonshotai/kimi-k3-free,713
725,moonshotai/kimi-k3-free,717
726,moonshotai/kimi-k3-free,743
727,moonshotai/kimi-k3-free,716
728,moonshotai/kimi-k3-free,719
729,moonshotai/kimi-k3-free,721
730,moonshotai/kimi-k3-free,722
731,moonshotai/kimi-k3-free,744
732,moonshotai/kimi-k3-free,745
734,moonshotai/kimi-k3-free,1740
736,moonshotai/kimi-k3-free,726
